Reviews,category,Label,Length,Word Count
"ফেসওয়াশ অরিজিনাল মনে হচ্ছে। দাম একটু বেশি, তবে মান ভালো, প্রথমবার কিনে সন্তুষ্ট",womens_item,4,80,13
মাস্ক অরিজিনাল মনে হচ্ছে। ব্যবহার করে দেখতে হবে কেমন কাজ করে প্রথমবার কিনে সন্তুষ্ট,medical_kits,4,83,14
"অনেক ভালো প্রোডাক্ট।👍👍
সাথে একটা গিফট এবং চিঠি পেয়েছি যার জন্য সেলারকে অনেক অনেক ধন্যবাদ 🥰🥰🥰
মাস্ক এর কোয়ালিটি নিয়ে আর কি বলব। অনেকেই দেখছি সূর্যের আলোতে মাস্ক ধরে বলছেন মাস্ক এর কোয়ালিটি ভালো না। আরে ভাই এটা মাস্ক, 500 টাকার নোট না 😂😂😂
আর হ্যাঁ ঢাকা থেকে প্রায় 500 কিলোমিটার দূরে মাত্র 3 দিনে ডেলিভারি পেয়েছি, শুনে অবাক হলেন না!! হ্যাঁ এটাই ইনসাফ শপের কামাল।",medical_kits,5,365,66
কম দামে ভালো পণ্য পেয়েছি। রাইডার এর ব্যবহার ছিল প্রশংসনীয়। জোর করেও তাকে চা খাওয়াতে পারি নি 😅। প্যাকেট দেখে একটু পুরাতন মনে হয়েছে যদিও।,medical_kits,4,135,25
অনলাইনে প্রথমবার সাপ্লিমেন্ট কিনলাম। দাম তুলনামূলক কম। কিছু মাইনর ইস্যু আছে,body_fitness,4,75,11
"এই ফেসওয়াশ টা আমার খুব ই পছন্দের ও অয়েলি স্কিনে ভালো স্যুট করে৷ প্যাকিং মজবুত ও ডেলিভারি মাত্র ১ দিনের মধ্যে পেয়ে গিয়েছি। ধন্যবাদ সেলার ভাইজান। 
আপনার থেকে নিলে প্রতিবারই এক্সট্রা ভরসা পাই, সঠিক পণ্য দিয়ে এভাবেই সেবা করে যাবেন।",womens_item,5,227,40
"ভরসা করেছিলাম, ফল পেয়েছি। ওজন মাপার জন্য সত্যিই একটা অস্থির মেশিন ভাই। আমার বুড়া দাদি এই যন্ত্র দেখে জীবনের প্রথমবার ওজন মাপিয়েছে। উনি খুবই উচ্ছসিত আর আন্দনিত। একই ভালো লাগা কাজ করেছে বাবারও। এরকম একটা সুন্দর মুহূর্ত উপহার দেবার জন্য সেলার সহ সংশ্লিষ্ট সকলকে অনেক অনেক ধন্যবাদ।",medical_kits,5,277,47
কয়েকদিন ধরেই অনলাইনে প্রডাক্ট ক্রয় করছি গ্লোব ফার্মা থেকে। এবার তারা আমাকে হতাশ করেছে। নেবুলাইজার এর কথা বলছিলাম। নিজেরাই দেখে নিন। ,medical_kits,2,132,21
মাশাআল্লাহ অনেক অনেক ভালো লেগেছে 😍! দ্রুত ডেলিভারি পেয়েছি 👌। সেলারের মত এত ভালো মানুষ কমই দেখেছি আমি সবাইকে সুপারিশ করবো ❤️,medical_kits,5,124,22
রিটেইল সেলারকে বাটপার মনে হয়েছে। ওষুধ এর মান খারাপ সেটা বলছি না। তবে আমি রেকমেন্ড করছি না। ,medicines,3,91,17
যেমন ছবি দেখেছি সেরকমই পাঠিয়েছে কিন্তু ইউজ না করে বলতে পারছি না এমন হবে। আবার রিভিউ দিবো।,body_fitness,3,90,17
শ্যাম্পু নিয়ে অরিজিনাল মনে হচ্ছে। কিছু মাইনর ইস্যু আছে। ডেলিভারি সার্ভিস আরো উন্নত হলে ভালো হতো,womens_item,4,96,16
"১০০% কার্যকরী! চমৎকার একটি প্রোডাক্ট 💯 কম্বো অফার ছিল দারুণ। নিশ্চিন্তে কিনতে পারেন, প্রতারণার ভয় নাই",adult_items,5,102,16
অসাধারণ ছিল 🤗🤗 । এই নিয়ে ১৩ বার ওষুধলাগবে.কম থেকে শপিং করলাম। সব কিছু ঠিকঠাক পেয়েছি আলহামদুলিল্লাহ। ধন্যবাদ আর শুকরিয়া জানাই সেলার সহ যারা এই মহৎ কাজে নিয়োজিত তাদের সবাইকে। বঙ্গবন্ধুর সোনার বাংলা গড়ার জন্য আপনাদের অবদান প্রশংসনীয় 😇😇😇। এগিয়ে যান পাশে আছি।,womens_item,5,254,43
ওষুধ নিয়ে প্রোডাক্ট মোটামুটি ভালো। কিছু মাইনর ইস্যু আছে। প্রতিশ্রুত সময়ের মধ্যে পেয়েছি,medicines,4,89,13
"মাস্কের মান নিয়ে সম্পূর্ন সন্তুষ্ট।
দাম ও ভাল।
প্যাকিং দারুণ।
হাতে পেয়েছি যথাসময়ে। আশা থেকে অনেক বেশি মিলেছে আলহামদুলিল্লাহ।",medical_kits,5,124,19
"মেডিক্যাল কিট তো, তাই ভরসা করতেই হচ্ছে। অনলাইনে কিনেছি তো, এজন্য বেশি সময় ইউজ করি না। ব্লাড মাপা যায় দ্রুতই। তবে আমার পার্সোনালি একটু ছোট মনে হচ্ছে স্ক্রিনটা। ",medical_kits,4,159,28
ওষুধ এর প্যাকেজিং ভালো না। কোয়ালিটি তেমন একটা ভালো না,medicines,2,54,10
"আলহামদুলিল্লাহ অসাধারণ একটা প্রোডাক্ট ❤️। অসাধারণ ফাস্ট ডেলিভারি, এই সেলার থেকে নিয়মিত কিনি। যে কেউ চোখ বন্ধ করে অর্ডার করতে পারেন",medical_kits,5,131,21
"এখন থেকে আর এই গ্লোবাল ফার্মা থেকে কিছু কিনবো না। অনলাইন পেয়ে বাটপার গুলো আরো ভণ্ডামি করা শিখেছে। আমার ছেলের জন্য সিরাপ অর্ডার করলাম দেখি ডেট শেষ 😭😭, মেজাজ তো গরম হওয়ায় স্বাভাবিক। তাই না?",medicines,1,187,35
সেলার শালা মেসেজ করে কিসব বলছে। আমি কেন ফ্রি ফিডার পেলাম না আমাকে বলুন। ,medicines,2,72,14
খুব উন্নত মানের প্রোডাক্ট! আলহামদুলিল্লাহ খুব ভালো একটা জিনিস 🥰 💯 ১০% ডিসকাউন্ট পেয়েছি। আমি সবাইকে সুপারিশ করবো,medical_kits,5,112,18
"এটা খুব ভালো কাজ করে দিলে মুখ অনেক ফ্রেশ লাগে। খুব ভালো একটি প্রোডাক্ট।
দারাজ থেকে দ্বিতীয় বার ও নিলাম এ মূলতানি মাটি। রঙনের প্রোডাক্ট মানে অসাধারণ 👌👌👌 ",womens_item,5,152,28
আমি একটা পেপসুডেন্ট টুথপেষ্ট সহ বড় প্যাকেজ অর্ডার করেছিলাম। সব ঠিক ছিল  কিন্তু টুথপেষ্ট টি পাইনি। ডেলিভারি ম্যান বলে রিটার্ন করতে কিন্তু রিটার্ন অপশনে রিটার্ন ব্যর্থ দেখায়। কি বলব বলার ভাষা খুঁজে পাচ্ছি না।,womens_item,3,206,34
খুব সুন্দর একটা মেশিন। আমার খুব ভালো লেগেছে। সবাই নিতে পারেন কোন সমস্যা নাই সাউন্ড ঠিক আছে অস্থির কোয়ালিটি ভালো,medical_kits,5,112,20
সাপ্লিমেন্ট কিনে খুব অনুতপ্ত। সিল ভাঙ্গা 😔😔 দাম আর কোয়ালিটি মিলে না একদম,body_fitness,1,73,13
মাশাআল্লাহ অসাধারণ একটা প্রোডাক্ট ❤️! ডেলিভারি ম্যান খুব ভদ্র ছিল 😊। সেলার ভাই খুব সৎ আছেন হানড্রেড পারসেন্ট রেকমেন্ডেড ❤️,womens_item,5,122,20
"অসাধারণ ফাস্ট ডেলিভারি! অসাধারণ একটা প্রোডাক্ট ❤️, খুব উন্নত মানের প্রোডাক্ট। আবারও কিনবো ইনশা আল্লাহ 💝",medical_kits,5,103,16
অনলাইনে প্রথমবার শ্যাম্পু কিনলাম। কোয়ালিটি মানসম্মত। কিছু মাইনর ইস্যু আছে,womens_item,4,74,10
মাশাআল্লাহ সত্যিই অসাধারণ 🤗! ডেলিভারি ম্যান খুব ভদ্র ছিল 😊। সেলারের মত এত ভালো মানুষ কমই দেখেছি যে কেউ চোখ বন্ধ করে অর্ডার করতে পারেন ❤️,womens_item,5,136,26
বাচ্চাদের ফিডার এর মধ্যেও আপনাদের নকল দিতে হয়? টাকা কি আমি কম দিয়েছি নাকি রে ভাই? শালা খানকির ছেলেরা অনলাইনে জিনিস বিক্রি করে। ফাইজলামি নাকি? হারাম খেতে খেতে তোদের পেট ফুলে যাবে হারামজাদা। ,baby_items,1,189,33
"অর্ডার করার ৬ দিন পর প্রোডাক্ট হাতে পেলাম। ব্যাগের কোয়ালিটি ভাল কিন্তু কেবল বেশি ভাল মনে হল না। একবার গরম করাতে কেবল নরম হয়ে গেছে, নষ্ট হবার পথে ভাই। 
কেবল কয়দিব যায় কে জানে!",body_fitness,3,174,34
"এতটা দোকাবাজী ভাবতেই অবাক লাগে। টেম্পারলেস, আর লিকেজ। এভাবে প্রতারণার আশ্রয় নিয়ে  ওরা মানুষ কে ঠকাচ্ছে। ",medical_kits,1,104,16
ভাই আমার মতে এই আইস ব্যাগ মোটামুটি মানের। আহামরি কিছু না।,medical_kits,3,57,11
প্রোডাক্ট ভালোই ছিল তবে প্যাকিং আরও ভালো করার দরকার ছিল। প্যাকেটের খুবই দুরবস্থা ছিল।। আর ছবিতে দেখানো আছে সাথে প্রোটেকটিভ কেস আছে।। আমি তা পাই নাই।।,medical_kits,3,149,26
"মাশাআল্লাহ অনেক অনেক ভালো লেগেছে 😍! বাবল র‍্যাপ দিয়ে প্যাকিং করা। সেলার ভাই খুব সৎ আছেন নিশ্চিন্তে কিনতে পারেন, প্রতারণার ভয় নাই ❤️",medical_kits,5,133,23
"যেমন দেখেছি তেমন পেয়েছি মাস্কগুলো 😍😍। সাথে উপহার ও পেয়েছি তবে ভাই একটাই কষ্ট দেওয়ার কথা ছিল পঁচিশটা, আর দিয়েছেন চব্বিশটা। ",medical_kits,4,122,21
এবারের তেল এর কোয়ালিটি আগের মত না। কোয়ালিটি তেমন একটা ভালো না,body_fitness,2,63,12
অসাধারণ একটা প্রোডাক্ট ❤️। খুব উন্নত মানের প্রোডাক্ট। সাথে ফ্রি গিফট পেয়েছি 🎁 এই সেলার থেকে নিয়মিত কিনি 🤗,medical_kits,5,107,19
অনলাইন থেকে আমি কতগুলো মাস্ক নিলাম। এগুলো আগের থেকে ভালো না। কোনোরকমে কাজ সেরেছি। রেকমেন্ড করার মতো না আরকি।,medical_kits,3,108,19
"মেয়াদ যথেষ্ট আছে, প্রতিশ্রুত সময়ের মধ্যে পেয়েছি। ওষুধ নিয়ে অন্যরা নিতে পারেন, আমার কাজে দিয়েছে",medicines,4,99,15
দেখা যাচ্ছে ওয়াটার ব্যাগের মধ্যে পানি ভালই গরম থাকছে। আরো উন্নতি করলে ইনশাআল্লাহ ভালো হবে। আপনারা এরকম ব্যাগ দেবেন আশা রাখি।,medical_kits,4,124,21
🥺🥺 ছবির সাথে মিল নাই মালিশের তেল। অর্ধেক ভর্তি 🥺🥺 এভাবে ব্যবসা করা উচিত না,medicines,1,74,15
হায় হায় 😫😫 এই ক্রিম! দাগ ধরে গেছে। প্রোডাক্ট হ্যান্ডলিং খুবই খারাপ,womens_item,1,68,12
ডেলিভারি দিতে অনেক দেরি করলো। সাপ্লিমেন্ট এর মান ভালো না,body_fitness,2,56,10
আলহামদুলিল্লাহ খুব ভালো একটা জিনিস 🥰। খুব উন্নত মানের প্রোডাক্ট। দাম অনেক কম পেয়েছি সেলার অসাধারণ সার্ভিস দিয়েছেন 🤗,medical_kits,5,117,19
"টাকা দিয়ে পণ্য কিনে যদি এরকম ক্ষতির সম্মুখীন হতে হয় তাহলে মন টাই খারাপ হয়ে যায়।
আমি অরও নিয়েছিলাম বড় বোনের জন্য। যেটাই হোক এজন্য আশানুরূপ রেটিং দিতে পারলাম না।",womens_item,2,163,30
মেয়াদ যথেষ্ট আছে। ওয়াটার ব্যাগ নিয়ে পানি বেশিক্ষণ গরম থাকে না। দাম একটু কমানো দরকার,medical_kits,4,86,15
দাম অনুযায়ী সাপ্লিমেন্ট ঠিক আছে। মোটামুটি ঠিক আছে,body_fitness,3,50,8
আমার মায়ের শরীর খারাপ যাচ্ছে বেশ কয়েকদিন ধরেই। একটু ডিসকাউন্ট এর আশায় অনলাইনে অর্ডার করার সিদ্ধান্ত নেই। তবে ইমন ফার্মেসির লোকজন এতটা বজ্জাত হবে তা কেউ কোনোদিন কল্পনা করতে পেরেছে? এদের দুই নাম্বারি চালচলন টের পাওয়া যায় না লোভনীয় বিজ্ঞাপনের ব্যানারে। আমি প্রথমে টের পাইনি। জানতাম না এদের কথা আর কাজে একদম মিল নেই। এতোগুলো ওষুধ নেয়ার পরেও কোনো ডিসকাউন্ট যে পাবো না তা অকল্পনীয় এবং হতাশাজনক। আল্লাহ এদের হেদায়েত দান করুন। ,medicines,1,420,72
"স্যানিটারি প্যাড দাম তুলনামূলক কম। দাম একটু বেশি, তবে মান ভালো, অনলাইনে কেনার ঝুঁকি আছে, তবে এটা ভরসাযোগ্য",womens_item,4,106,18
মেয়াদ যথেষ্ট আছে। ওয়াটার ব্যাগ নিয়ে সিল একটু লিক করে। দাম একটু কমানো দরকার,medical_kits,4,77,14
"সময়মতো পেয়েছি কিন্তু প্যাকেজিং ভালো না। কনডম উন্নতমানের প্রতীয়মান হচ্ছে, তবে কিছু মাইনর ইস্যু আছে",adult_items,4,100,15
"এটা কোনো কথা! ওয়াটার ব্যাগ দিয়েছেন ভালো কথা, তবে বেশিক্ষন গরম থাকছে না। একটু দেখে দিলেই পারতেন। আগেরটা তো ভালো ছিল। এই ভেবে নিয়েছিলাম আরকি।",medical_kits,3,139,25
"প্রথম কয়েক দিন ভালই চার্জ হচ্ছিল। এরপর চার্জ হতে অনেক সময় লাগে। এখন একদমই চার্জ হয় না। খুবই বাজে প্রোডাক্ট, নকল মনে হচ্ছে । 
সেলারের কথা শুনে বাটপার মনে হলো। পারলে রিপ্লেস করে দিয়েন।",medical_kits,1,186,34
বেল্টটিতে একটুও ইলাস্টিসিটি নাই। দুই নাম্বার। কেউ কিনে টাকা নষ্ট করবেন না। কিনার পরে বুঝতে পারবেন।,body_fitness,1,98,16
"প্রতিশ্রুত সময়ের আগেই পেয়েছি! সত্যিই অসাধারণ 🤗, অসাধারণ কোয়ালিটি। আমি সবাইকে সুপারিশ করবো 💝",medicines,5,94,14
পুরাতন ডায়াপার দিয়েছে মনে হয়। মান ভালো না,baby_items,2,44,8
মাস্ক কিনে খুব অনুতপ্ত। মার্কেটে যা দেখি এটা তার চেয়েও খারাপ 😭😭 ডিসকাউন্ট দেখিয়ে বেশি নিয়েছে,medical_kits,1,95,16
"কথা আমি কম বলি, কিন্তু এসব দেখে আর থাকা যাচ্ছে না বসে। আমার কথা হলো ওষুধের গায়ে তো মেয়াদ ছিল না, তারপরেও কিভাবে আপনারা এসব পাঠালেন? নির্বোধ বোকা সাজবেন না। প্রতারণা আর ধোঁকাবাজি করে আর কতো চলবেন? মেজাজ তো খুব খারাপ আমার। সহ্য হচ্ছে না। ভন্ড কারবার সব। ",medicines,1,252,48
ডায়পার রেস ক্রিমটার মেয়াদ ২২সাল পর্যন্ত। প্রডাক্ট গুলোর পেকেজিং আরো ভালো করা উচিত। লোশন এর সাথে ৫০ মি.লি এর একটা বেবি ওয়াশ ফ্রি পেয়েছি কিন্তু প্রায় ২০মি.লি এর মত পড়ে গেছে ভালো করে প্যাকিং না করার জন্য।,womens_item,4,206,37
চমৎকার একটি প্রোডাক্ট। অসাধারণ কোয়ালিটি। দাম অনেক কম পেয়েছি সেলার অসাধারণ সার্ভিস দিয়েছেন 🤗,body_fitness,5,94,14
ডায়াপার এর প্যাকেজিং ভালো না। সাইজটা ছোট মনে হয়,baby_items,2,49,9
অনেকটাই ঠিক আছে। ফেসওয়াশ এর মোটামুটি ঠিক আছে,womens_item,3,45,8
পুরাতন মাস্ক দিয়েছে মনে হয়। সাইজ ছোট,medical_kits,2,38,7
"প্রতিশ্রুত সময়ের আগেই পেয়েছি! অসাধারণ একটা প্রোডাক্ট ❤️, ত্বকের যত্নে সেরা। হানড্রেড পারসেন্ট রেকমেন্ডেড 💝",womens_item,5,108,15
"কনডম প্রোডাক্ট মোটামুটি ভালো। দাম একটু বেশি, তবে মান ভালো, অনলাইনে কেনার ঝুঁকি আছে, তবে এটা ভরসাযোগ্য",adult_items,4,101,17
এক জায়গায় একটু ফল্ট আছে। আমার আম্মুর ঘাড় ব্যথার জন্য নেয়া। হিসাবে দাম আরেকটু কম হতে পারতো। যা-ই হোক চালাতে পারছি বলে শুকরিয়া।,medical_kits,4,125,23
সাপ্লিমেন্ট মোটামুটি ভালো। তবে দাম অনুযায়ী ঠিক আছে,body_fitness,3,51,8
6 দিন দেরিতে পেলাম। কনডম এর গন্ধ ভালো না,adult_items,2,40,9
আমি তো অনলাইনে কিনতামই না। ছেলে আমাকে দেখালো আপনারা ডিসকাউন্ট দিচ্ছেন। তাই অর্ডার করতে বলি। সব মিলিয়ে মাত্র ২০ টাকা ছাড় দিয়েছে। এটা তো ভাই খুবই বাজে কথা।,medicines,3,153,28
"আমি হতাশ, মনে মনে অনেক গালি দিয়েছি। আর ভালো লাগে না মেডিসিন কিনে যদি প্রতারিত হতে হয়  তবে আমরা যাবো কোথায়? এসব অসৎ সেলারদের শাস্তি হওয়া উচিত।  প্রতিটি ফালতু প্রডাক্ট দিয়েছে। ",medicines,1,174,31
"ওষুধ নিয়ে তেমন খুশি না। প্যাকেট খুলে দেখি পুরাতন মাল, পিকআপ পয়েন্ট অনেক দূরে",medicines,2,78,14
"ছোট বাচ্চা, কিছুদিন পরপরজ্বরআসে, সিরাপ খাইয়ে এখন একটু সুস্থ তবে শরীর দুর্বল, সিরাপে ভেজাল থাকতে পারে। ",medicines,3,102,16
ডেলিভারি সময় নিয়েছে কিন্তু পেয়েছি। তেল এর মোটামুটি ঠিক আছে,body_fitness,3,61,10
পুরাতন ফেসওয়াশ দিয়েছে মনে হয়। পরিমাণ কম,womens_item,2,42,7
অরিজিনাল প্রডাক্ট। তবে বাইরে আরো 20 টাকা কমে পাওয়া যায়।  দাম একটু কম রাখলে আরো ৫ রেটিং দিতাম।,womens_item,4,95,18
হায় হায় 🤬🤬 এই ওষুধ! মানসম্মত না। ডেলিভারি ম্যান খারাপ ব্যবহার করলো,medicines,1,68,12
এই মাস্ক নিয়ে একদম হতাশ। এক্সপায়ারি ডেট মুছে ফেলা অর্ডার করার 8 দিন পরেও কোনো আপডেট নাই 😫😫 অনলাইনে কেনাকাটা বন্ধ করে দিলাম,medical_kits,1,124,23
সব মিলিয়ে মালিশের তেল মন্দ না। এভারেজ কোয়ালিটি,medicines,3,48,8
সাপ্লিমেন্ট টা ভালো লাগলো না। মান ভালো না,body_fitness,2,41,8
এই শ্যাম্পু আমার জীবনের সবচেয়ে খারাপ কেনাকাটা। বাজে কোয়ালিটি এত দামি মাল এত খারাপ কিভাবে হয়,womens_item,1,94,16
"প্রথম কিনেছিলাম ২০২০ সালে, এখন আবার কিনলাম। উনাদের আগের মতো ডেলিভারি সার্ভিস সন্তোষজনক। কিন্তু সেলারের কথা কাজে এখনো সেভাবে মিল পাই নি। বাটপারি করছে এখনো। ",medicines,3,155,25
"প্রতিশ্রুত সময়ের আগেই পেয়েছি! অসাধারণ একটা প্রোডাক্ট ❤️, খুব উন্নত মানের প্রোডাক্ট। সবাই নিঃসন্দেহে কিনতে পারেন 💯 💝",medical_kits,5,117,18
ডেলিভারি সার্ভিস উন্নত করা দরকার। মাস্ক এর সাইজ ছোট,medical_kits,2,51,9
"ডেলিভারি চার্জ একটু বেশি। মাস্ক কোয়ালিটি মানসম্মত, তবে কিছু মাইনর ইস্যু আছে",medical_kits,4,76,12
এটা কাজ করে কিনা সেটাই বুঝতে পারছিনা। সবসময়ই ৩২ ডিগ্রি শো করে। এগুলা আমার চ্যাটের বাল মার্কা থার্মোমিটার।,medical_kits,1,105,18
শ্যাম্পু টা ভালো লাগলো না। প্যাকেজিং খারাপ,womens_item,2,42,7
"ফেসওয়াশ নিয়ে তেমন খুশি না। গন্ধটা এমন হওয়াতে ভালো ফিল পাচ্ছিলাম না, পিকআপ পয়েন্ট অনেক দূরে",womens_item,2,94,16
এই গ্লুকোমিটার কিনে বাজে অভিজ্ঞতার সম্মুখীন হয়েছি। সেলার আমাকে গ্লুকোমিটার না পাঠিয়ে শুধু ২ বক্স স্ট্রিপ পাঠিয়েছে। সকাল থেকে বসে ছিল শুধু কখন ডেলিভারি আসবে বলে।,medical_kits,2,160,26
"এইভাবে মানুষকে ঠকানোর মানে কি 😡😡😡? ২ টা অডার করলাম দিয়ে পেলাম ১টা, টাকাও রেখে দিলেন বেশি, কি হল বুঝলাম না ব্যাপার টা। আপনারা কি মঘের মুল্লুক পেয়েছেন নাকি রে ভাই? ধান্দা বাদ দিন, এগুলো ঠিক না। ",medicines,1,192,37
ফেসওয়াশ নিয়ে মিক্স ফিলিংস। দাম অনুযায়ী ঠিক আছে,womens_item,3,49,8
"আমি অর্ডার করেছিলাম হোয়াইট রাইস সিরাম কিন্তু আমাকে দাওয়া হয়েছে শুধু রাইস সিরাম, এটা কি ঠিক? আপনারদের থেকে এমন আশা করি নাই ভাই। এই প্রথম আপনাদের থেকে কিছু কিনে হতাশ হলাম।",womens_item,2,169,31
এই কনডম নিয়ে মিক্স ফিলিংস। এত দামি মাল এত খারাপ কেন,adult_items,2,52,11
অনেকটাই ঠিক আছে। নেবুলাইজার এর মোটামুটি ঠিক আছে,medical_kits,3,47,8
চকলেট নিয়ে মিক্স ফিলিংস। মোটামুটি ভালো,Random/Misc,3,39,6
চকলেট এর প্যাকেজিং ভালো না। পরিমাণ কম দিয়েছে,Random/Misc,2,45,8
অরিজিনাল মনে হচ্ছে। অক্সিমিটার নিয়ে কিছু মাইনর ইস্যু আছে। দাম একটু কমানো দরকার,medical_kits,4,79,13
"আমি 2 টা অর্ডার করেছি কিন্তু আমাকে 1 টা দিয়েছে...
কাজটা ভালো করেনি..। টাকার কেনা জিনিস না পেলে মন কষ্ট লাগে। 
এরকম করলে আমরা পণ্য কিনতে পারব না, অনলাইন থেকে আস্থাই উঠে যাচ্ছে দিন দিন।",womens_item,1,183,35
মাড মাস্ক টা অর্ডার করেছিলাম। ডেলিভারির জন্য টাকা দেয়া লাগেনি 💥💥। আর ফ্রিতে অলিভ অয়েল টা গিফট পেলাম 😍। ধন্যবাদ ব্রাদার এন্ড লাভ ফর ইউ ❤️❤️,womens_item,5,138,26
"সাপ্লিমেন্ট নিয়ে তেমন খুশি না। সাইজটা ছোট মনে হয়, লোকেশন খুঁজে পেতে সমস্যা হয়েছে",body_fitness,2,83,14
খাবার খেলেই ব্যথা শুরু হয় গ্যাস্ট্রিকের। ট্যাবলেট খেয়েও রক্ষা নাই 😫😫। জীবন শেষ। পুরা ফালতু জিনিস।,Random/Misc,1,97,16
"আলহামদুলিল্লাহ আলহামদুলিল্লাহ খুব ভালো একটা জিনিস 🥰। অসাধারণ ফাস্ট ডেলিভারি, সেলারের মত এত ভালো মানুষ কমই দেখেছি। সবাই নিঃসন্দেহে কিনতে পারেন 💯",womens_item,5,143,22
থার্মোমিটার নিয়ে মেয়াদ যথেষ্ট আছে। রেসপন্স টাইম একটু স্লো। ডেলিভারি একটু দেরি হলেও মাল ভালো,medical_kits,4,93,15
দাম অনুযায়ী ফেসওয়াশ ঠিক আছে। মোটামুটি ঠিক আছে,womens_item,3,47,8
"একদম বাজে থার্মোমিটার, এটির সাথে যে ব্যাটারি ছিল সেটি একদম ভালো ছিল না ‌। নতুন ব্যাটারি লাগানোর পরেও চলে না । পুরো টাকাটাই নষ্ট মনে সারাদিন বাজছে কষ্ট।",medical_kits,1,151,28
"আলহামদুলিল্লাহ চমৎকার একটি প্রোডাক্ট। সুন্দর প্যাকেজিং করে দিয়েছে, সেলার ভাই খুব সৎ আছেন। আবারও কিনবো ইনশা আল্লাহ",medical_kits,5,114,17
চকলেট মোটামুটি ভালো। তবে কোয়ালিটি মোটামুটি,Random/Misc,3,43,6
অনেকটাই ঠিক আছে। শ্যাম্পু এর মোটামুটি ঠিক আছে,womens_item,3,45,8
সাপ্লিমেন্ট মোটামুটি ভালো। তবে মন্দের ভালো,body_fitness,3,42,6
"আজকেই প্রোডাক্ট হাতে পেয়েছি, জিনিসটা সঠিকভাবে কাজ করেছে। ব্যবহার না করে সম্পূর্ণভাবে বলতে পারবো না জিনিসটা ভালো না খারাপ। 
তবে প্রথম ব্যবহারেই আমার কাছে ভালো লেগেছে। বিক্রেতাদের একটা বিষয়ে সাজেস্ট করব যে, যেহেতু এটার তারটা আনকমন সো এটার তারটা  একটু মোটা করলে ভালো হতো। 
আমি প্রব্লেম ফেইস করেছি তো। অন্য কেউ করবে কিনা জানি না।   কেউ নিতে চাইলে তো নিশ্চিন্তে নিতে পারেন, কোন প্রবলেম হবে না আশা করি 😎😎। ",medical_kits,4,402,69
"স্যানিটারি ন্যাপকিন লম্বা সময় সাপোর্ট দেয়। বাচ্চা মেয়ে আমার ক্লাস নাইনে পড়ে। তার প্রয়োজনে মাকেই এগিয়ে আস্তে হয়..
তাই এ চিন্তা করেই আর সুবিধার কথা চিন্তা করে অনলাইনে অর্ডার করি। অনলাইন কেনাকাটা যে এত উন্নত হয়ে তা আগে জানতাম না। সেলারকে অনেক শুকরিয়া 😘😘।",womens_item,5,251,44
সাপ্লিমেন্ট মোটামুটি ভালো। তবে কাজ চলে যায়,body_fitness,3,43,7
"একটু আগেই ডেলিভারি ম্যান বাসায় দিয়ে গেলো এই নেবুলাইজার। আলহামদুলিল্লাহ দেখে তো ভালোই মনে হলো। অনলাইনের পণ্য তো, দেখি কয়দিন ব্যবহার করা যায়।",medical_kits,4,139,23
অনলাইন বলে এখন খারাপ ধারণা হয়ে গিয়েছে। ফালতু অফারের লোভে পড়লে নিজের ক্ষতি হতে পারে।,medicines,2,83,15
